date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2020-03-08,36.0,70.0,50.0,31.0,66.0,29.0,71.0,45.0,41.0,0.0,0.0,41.0,0.0,9.0,38.0,12.0,10.0,0.0,46.0,5.0,38.0,3.0,31.0,82.0,3.0
2020-03-09,38.0,76.0,17.0,18.0,87.0,31.0,63.0,48.0,53.0,8.0,14.0,44.0,0.0,13.0,73.0,11.0,13.0,15.0,34.0,8.0,37.0,5.0,36.0,76.0,6.0
2020-03-10,46.0,78.0,25.0,26.0,85.0,34.0,68.0,49.0,58.0,0.0,7.0,36.0,0.0,10.0,54.0,9.0,15.0,5.0,32.0,9.0,26.0,5.0,38.0,78.0,7.0
2020-03-11,42.0,79.0,22.0,22.0,80.0,43.0,69.0,52.0,64.0,4.0,3.0,37.0,0.0,12.0,64.0,10.0,15.0,5.0,33.0,13.0,28.0,5.0,35.0,83.0,10.0
2020-03-12,42.0,71.0,21.0,18.0,81.0,69.0,50.0,67.0,100.0,7.0,7.0,31.0,0.0,12.0,41.0,10.0,31.0,14.0,31.0,18.0,21.0,7.0,38.0,72.0,12.0
2020-03-13,32.0,67.0,14.0,18.0,70.0,83.0,48.0,72.0,88.0,4.0,0.0,40.0,0.0,10.0,46.0,12.0,43.0,20.0,36.0,40.0,35.0,10.0,32.0,74.0,15.0
2020-03-14,38.0,63.0,34.0,28.0,56.0,87.0,53.0,79.0,84.0,0.0,4.0,22.0,0.0,8.0,54.0,16.0,36.0,6.0,43.0,23.0,34.0,11.0,24.0,79.0,10.0
2020-03-15,27.0,63.0,29.0,26.0,58.0,84.0,60.0,81.0,74.0,13.0,0.0,34.0,0.0,10.0,49.0,19.0,44.0,0.0,43.0,30.0,34.0,12.0,28.0,69.0,12.0
2020-03-16,29.0,71.0,27.0,18.0,76.0,87.0,49.0,100.0,68.0,8.0,3.0,37.0,0.0,9.0,48.0,23.0,100.0,10.0,37.0,63.0,15.0,36.0,28.0,76.0,33.0
2020-03-17,25.0,70.0,27.0,21.0,87.0,98.0,47.0,98.0,62.0,0.0,3.0,28.0,0.0,9.0,30.0,29.0,66.0,15.0,32.0,100.0,28.0,43.0,25.0,78.0,38.0
2020-03-18,34.0,72.0,30.0,18.0,97.0,80.0,52.0,100.0,60.0,16.0,7.0,37.0,0.0,9.0,56.0,27.0,54.0,30.0,39.0,96.0,35.0,53.0,31.0,80.0,47.0
2020-03-19,27.0,71.0,41.0,30.0,91.0,89.0,49.0,99.0,46.0,15.0,14.0,34.0,0.0,10.0,37.0,26.0,60.0,15.0,36.0,80.0,26.0,53.0,28.0,80.0,52.0
2020-03-20,29.0,74.0,57.0,33.0,85.0,100.0,53.0,87.0,43.0,8.0,17.0,23.0,0.0,8.0,42.0,24.0,75.0,14.0,36.0,73.0,26.0,57.0,34.0,85.0,54.0
2020-03-21,36.0,73.0,37.0,44.0,80.0,97.0,58.0,76.0,40.0,17.0,19.0,27.0,0.0,11.0,35.0,33.0,58.0,22.0,46.0,44.0,19.0,42.0,35.0,93.0,39.0
2020-03-22,25.0,74.0,43.0,42.0,86.0,87.0,56.0,79.0,37.0,13.0,19.0,32.0,0.0,14.0,36.0,34.0,63.0,17.0,49.0,52.0,25.0,37.0,34.0,89.0,48.0
2020-03-23,34.0,80.0,41.0,37.0,96.0,79.0,55.0,83.0,36.0,100.0,73.0,46.0,0.0,13.0,42.0,28.0,54.0,18.0,33.0,91.0,25.0,60.0,38.0,89.0,77.0
2020-03-24,29.0,83.0,47.0,43.0,90.0,82.0,57.0,80.0,36.0,42.0,34.0,50.0,0.0,14.0,33.0,26.0,46.0,34.0,36.0,84.0,22.0,61.0,35.0,85.0,86.0
