,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
89,2020-04-09,32.55,31.86,0.69,4861800,144.01,141.23,2.78,11125400,52.01,45.41,6.6,1483000,"23,690.66","23,719.37",-28.71,"566,400,000",33.24,33.58,-0.34,30648107,0.0,0.0,0.0,68623.0
90,2020-04-13,32.0,32.9,-0.9,5603900,140.0,139.77,0.23,8153200,46.02,41.71,4.31,880700,"23,698.93","23,390.77",308.16,"394,320,000",34.12,33.34,0.78,18270141,0.0,0.0,0.0,54214.0
91,2020-04-14,34.0,34.66,-0.66,8126900,145.42,146.03,-0.61,13838000,43.82,41.63,2.19,863900,"23,690.57","23,949.76",-259.19,"485,910,000",34.09,34.57,-0.48,21845309,0.0,0.0,0.0,71808.0
92,2020-04-15,34.64,37.25,-2.61,15683000,145.55,147.66,-2.11,11962300,40.9,38.58,2.32,980600,"23,600.72","23,504.35",96.37,"437,630,000",34.21,34.13,0.09,21312196,0.0,0.0,0.0,74953.0
93,2020-04-16,38.07,40.6,-2.53,20670700,148.31,149.67,-1.36,12181700,38.76,38.79,-0.03,849400,"23,543.66","23,537.68",5.98,"471,050,000",34.27,34.04,0.23,20657451,0.0,0.0,0.0,75216.0
94,2020-04-17,48.99,46.85,2.14,32286000,151.99,152.02,-0.03,10920000,40.3,40.81,-0.51,1008300,"23,817.15","24,242.49",-425.34,"525,950,000",34.63,35.02,-0.39,24404843,0.0,0.0,0.0,72081.0
95,2020-04-20,45.0,51.69,-6.69,34102500,150.93,151.67,-0.74,12226200,41.49,43.37,-1.88,1278800,"24,095.10","23,650.44",444.66,"423,410,000",34.52,34.23,0.28,22530620,0.0,0.0,0.0,67434.0
96,2020-04-21,53.0,49.26,3.74,39642000,150.12,149.68,0.44,9951100,45.27,42.26,3.01,1507200,"23,365.25","23,018.88",346.37,"485,140,000",33.95,33.8,0.15,23975233,0.0,0.0,0.0,75371.0
97,2020-04-22,50.61,51.2,-0.59,11670100,152.81,152.99,-0.18,11515600,54.44,53.5,0.94,10852500,"23,437.34","23,475.82",-38.48,"352,880,000",35.07,34.39,0.67,20182624,0.0,0.0,0.0,78427.0
98,2020-04-23,49.1,47.44,1.66,15152400,154.25,155.51,-1.26,10665000,58.0,50.0,8.0,4271200,"23,543.09","23,515.26",27.83,"389,290,000",34.42,34.81,-0.39,20185365,0.0,0.0,0.0,76032.0
99,2020-04-24,47.15,50.5,-3.35,11702100,155.57,154.86,0.71,8653400,51.24,47.75,3.49,1822700,"23,628.24","23,775.27",-147.03,"376,020,000",34.95,35.46,-0.51,17353794,0.0,0.0,0.0,74831.0
100,2020-04-27,51.53,48.05,3.48,13744400,154.81,154.29,0.52,8924000,48.89,49.4,-0.51,1183300,"23,866.15","24,133.78",-267.63,"389,390,000",35.66,36.37,-0.7,23394057,0.0,0.0,0.0,74696.0
101,2020-04-28,50.4,47.88,2.52,13067200,151.25,151.39,-0.14,8558700,48.6,45.83,2.77,1511200,"24,357.17","24,101.55",255.62,"400,250,000",37.05,35.97,1.08,35666728,0.0,0.0,0.0,80714.0
102,2020-04-29,46.6,46.37,0.23,11762000,151.38,150.24,1.14,9285200,48.0,49.25,-1.25,1766400,"24,490.37","24,633.86",-143.49,"455,290,000",36.49,36.17,0.32,26518535,0.0,0.0,0.0,76156.0
103,2020-04-30,46.78,45.99,0.79,7741900,148.46,150.04,-1.58,14829600,49.21,47.48,1.73,1034100,"24,585.57","24,345.72",239.85,"487,840,000",36.05,36.39,-0.34,29450973,0.0,0.0,0.0,78510.0
104,2020-05-01,48.71,47.93,0.78,21701300,149.62,148.29,1.33,7309000,46.0,45.11,0.89,874600,"24,120.78","23,723.69",397.09,"418,160,000",35.91,35.71,0.2,22679867,0.0,0.0,0.0,81522.0
105,2020-05-04,48.05,50.5,-2.45,10460500,148.77,148.27,0.5,7198400,45.2,45.78,-0.58,784900,"23,581.55","23,749.76",-168.21,"355,360,000",35.67,35.69,-0.02,19893512,0.0,0.0,0.0,77484.0
106,2020-05-05,50.48,49.34,1.14,11160200,149.0,149.5,-0.5,6562300,48.41,50.0,-1.59,2604800,"23,958.88","23,883.09",75.79,"369,710,000",36.82,36.54,0.28,24123952,0.0,0.0,0.0,84315.0
107,2020-05-06,48.45,48.95,-0.5,6692300,150.0,148.08,1.92,6191600,50.14,47.78,2.36,889400,"23,978.88","23,664.64",314.24,"377,450,000",36.97,36.54,0.44,24047432,0.0,0.0,0.0,90071.0
108,2020-05-07,55.78,53.19,2.59,30942700,149.37,147.59,1.78,5570500,49.26,49.32,-0.06,815300,"23,837.21","23,875.89",-38.68,"369,890,000",36.44,35.07,1.38,33546080,0.0,0.0,0.0,96122.0
109,2020-05-08,53.06,59.25,-6.19,24083200,148.92,148.7,0.22,4712100,49.16,49.24,-0.08,696100,"24,107.82","24,331.32",-223.5,"335,760,000",35.34,35.31,0.03,19893618,0.0,0.0,0.0,88776.0
110,2020-05-11,59.6,66.9,-7.3,34852000,148.45,149.11,-0.66,5887500,49.61,49.98,-0.37,1887400,"24,256.45","24,221.99",34.46,"352,400,000",35.34,36.15,-0.81,25620421,0.0,0.0,0.0,79443.0
111,2020-05-12,65.99,62.35,3.64,25934500,150.1,147.14,2.96,7039200,50.4,49.33,1.07,1910200,"24,292.84","23,764.78",528.06,"359,480,000",36.17,35.45,0.72,19335314,0.0,0.0,0.0,89858.0
